longitude;latitude;ADG443_NN;CHL_NN;CHL_OC4ME;IWV;KD490_M07;PAR;T865;TSM_NN;aphy_443;bbp_443
9.6579730000;58.9622000000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6579730000;58.9622000000;6.59019;1.92072;Invalid pos.;12.60000;Invalid pos.;1524.01575;0.20787;0.07723;Invalid pos.;Invalid pos.
9.6579730000;58.9622000000;6.29814;1.85232;Invalid pos.;12.90000;Invalid pos.;1524.01575;0.20787;0.07723;Invalid pos.;Invalid pos.
9.6685710000;58.9615470000;28.10728;8.49442;Invalid pos.;13.20000;Invalid pos.;1524.01575;0.20787;0.36156;Invalid pos.;Invalid pos.
9.6685710000;58.9615470000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6791830000;58.9608920000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6791830000;58.9608920000;12.43049;7.90019;Invalid pos.;12.90000;Invalid pos.;1503.93701;0.33386;4.23799;Invalid pos.;Invalid pos.
9.6897860000;58.9602370000;17.86358;7.90019;Invalid pos.;12.60000;Invalid pos.;1510.62988;0.28976;0.52631;Invalid pos.;Invalid pos.
9.6897860000;58.9602370000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.6897860000;58.9602370000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7003740000;58.9595830000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.7003740000;58.9595830000;0.34623;3.43110;Invalid pos.;12.90000;Invalid pos.;1477.16541;0.11969;1.16276;Invalid pos.;Invalid pos.
9.7109580000;58.9589270000;0.30221;4.26502;Invalid pos.;13.20000;Invalid pos.;1350.00000;0.05669;2.17404;Invalid pos.;Invalid pos.
9.7109580000;58.9589270000;0.30221;4.26502;Invalid pos.;12.90000;Invalid pos.;1336.61414;0.05669;2.17404;Invalid pos.;Invalid pos.
9.7215180000;58.9582720000;0.30221;3.82540;100.00000;12.30000;10.00000;1343.30713;0.07559;2.00000;Invalid pos.;Invalid pos.
9.7215180000;58.9582720000;0.30221;3.82540;100.00000;12.90000;10.00000;1376.77173;0.07559;2.00000;Invalid pos.;Invalid pos.
9.7320720000;58.9576170000;0.33089;4.26502;29.14519;13.50000;3.27905;1443.70081;0.06929;2.00000;Invalid pos.;Invalid pos.
9.7320720000;58.9576170000;0.33089;4.26502;29.14519;13.50000;3.19107;1443.70081;0.06299;2.00000;Invalid pos.;Invalid pos.
9.7320720000;58.9576170000;0.33089;4.26502;29.14519;13.50000;3.10546;1443.70081;0.06299;2.00000;Invalid pos.;Invalid pos.
9.7426270000;58.9569610000;0.31623;4.11314;52.06375;12.90000;5.96473;1416.92920;0.06299;2.00000;Invalid pos.;Invalid pos.
9.7426270000;58.9569610000;0.31623;4.11314;52.06375;12.60000;5.96473;1390.15747;0.06299;2.00000;Invalid pos.;Invalid pos.
9.7531680000;58.9563050000;0.33089;3.68917;62.41307;12.60000;10.00000;1370.07874;0.06299;1.76472;Invalid pos.;Invalid pos.
9.7531680000;58.9563050000;0.33089;3.68917;60.19044;12.60000;10.00000;1376.77173;0.06299;1.76472;Invalid pos.;Invalid pos.
9.7637020000;58.9556480000;0.31623;3.55780;18.86212;12.60000;1.07522;1383.46460;0.05669;1.91828;Invalid pos.;Invalid pos.
9.7637020000;58.9556480000;0.31623;3.55780;18.86212;13.20000;1.07522;1403.54333;0.05669;1.91828;Invalid pos.;Invalid pos.
9.7742270000;58.9549910000;0.31623;3.30891;16.31543;13.50000;0.84178;1410.23621;0.06299;2.00000;Invalid pos.;Invalid pos.
9.7742270000;58.9549910000;0.31623;3.30891;16.31543;13.50000;0.84178;1416.92920;0.06299;2.00000;Invalid pos.;Invalid pos.
9.7742270000;58.9549910000;0.31623;3.30891;15.73441;13.50000;0.84178;1416.92920;0.06299;2.00000;Invalid pos.;Invalid pos.
9.7847390000;58.9543340000;0.31623;3.30891;14.63371;13.20000;0.65902;1416.92920;0.05669;2.08520;Invalid pos.;Invalid pos.
9.7847390000;58.9543340000;0.31623;3.30891;14.11258;12.90000;0.64134;1403.54333;0.05669;2.08520;Invalid pos.;Invalid pos.
9.7952480000;58.9536760000;0.28882;2.66193;12.20715;12.60000;0.79721;1343.30713;0.06929;1.83990;Invalid pos.;Invalid pos.
9.7952480000;58.9536760000;0.28882;2.66193;12.20715;12.00000;0.79721;1316.53540;0.06929;1.83990;Invalid pos.;Invalid pos.
9.8057410000;58.9530180000;0.26379;2.30253;10.18296;11.70000;0.48863;1329.92126;0.06929;1.83990;Invalid pos.;Invalid pos.
9.8057410000;58.9530180000;0.26379;2.30253;10.18296;12.00000;0.47552;1316.53540;0.06929;1.83990;Invalid pos.;Invalid pos.
9.8162290000;58.9523600000;0.31623;2.96784;8.80809;12.00000;0.45034;1329.92126;0.06299;2.08520;Invalid pos.;Invalid pos.
9.8162290000;58.9523600000;0.31623;2.96784;8.80809;12.30000;0.45034;1350.00000;0.06299;2.08520;Invalid pos.;Invalid pos.
9.8162290000;58.9523600000;0.31623;2.96784;8.80809;12.90000;0.45034;1370.07874;0.06299;2.08520;Invalid pos.;Invalid pos.
9.8267030000;58.9517020000;0.31623;2.56714;7.90019;12.60000;0.48863;1350.00000;0.07559;1.91828;Invalid pos.;Invalid pos.
9.8267030000;58.9517020000;0.31623;2.56714;7.90019;12.30000;0.48863;1336.61414;0.07559;1.91828;Invalid pos.;Invalid pos.
9.8371730000;58.9510430000;0.27602;2.22053;7.90019;12.60000;0.41506;1350.00000;0.06929;1.83990;Invalid pos.;Invalid pos.
9.8371730000;58.9510430000;0.26379;2.22053;7.90019;12.90000;0.41506;1363.38586;0.06929;1.83990;Invalid pos.;Invalid pos.
9.8476260000;58.9503840000;0.33089;2.86215;8.19192;12.90000;0.37228;1376.77173;0.06299;2.00000;Invalid pos.;Invalid pos.
9.8476260000;58.9503840000;0.33089;2.86215;8.19192;13.20000;0.37228;1390.15747;0.06299;2.00000;Invalid pos.;Invalid pos.
9.8580770000;58.9497250000;0.27602;2.38755;6.83354;13.20000;0.47552;1390.15747;0.06929;1.91828;Invalid pos.;Invalid pos.
9.8580770000;58.9497250000;0.27602;2.38755;6.83354;12.90000;0.47552;1363.38586;0.06929;1.91828;Invalid pos.;Invalid pos.
9.8580770000;58.9497250000;0.26379;2.38755;6.83354;12.30000;0.47552;1343.30713;0.06929;1.91828;Invalid pos.;Invalid pos.
9.8685120000;58.9490650000;0.30221;2.76023;5.11283;12.30000;0.34311;1370.07874;0.06299;1.91828;Invalid pos.;Invalid pos.
9.8685120000;58.9490650000;0.30221;2.76023;5.11283;12.00000;0.34311;1363.38586;0.06299;1.91828;Invalid pos.;Invalid pos.
9.8789410000;58.9484060000;0.25210;2.38755;6.83354;12.00000;0.40392;1537.40161;0.11969;1.21230;Invalid pos.;Invalid pos.
9.8789410000;58.9484060000;0.25210;2.38755;6.83354;12.00000;0.40392;1537.40161;0.11969;1.21230;Invalid pos.;Invalid pos.
9.8893630000;58.9477460000;0.27602;2.96784;10.55898;12.30000;0.65902;1537.40161;0.13858;1.16276;Invalid pos.;Invalid pos.
9.8893630000;58.9477460000;0.27602;2.96784;10.55898;12.60000;0.65902;1537.40161;0.13858;1.16276;Invalid pos.;Invalid pos.
9.8997720000;58.9470850000;0.23025;2.38755;8.49442;12.90000;0.67719;1537.40161;0.13858;0.90528;Invalid pos.;Invalid pos.
9.8997720000;58.9470850000;0.23025;2.38755;8.49442;13.20000;0.67719;1537.40161;0.13858;0.90528;Invalid pos.;Invalid pos.
9.8997720000;58.9470850000;0.23025;2.38755;8.49442;13.50000;0.67719;1537.40161;0.13858;0.90528;Invalid pos.;Invalid pos.
9.9101730000;58.9464250000;0.33089;3.30891;6.59019;13.50000;0.37228;1416.92920;0.06299;2.00000;Invalid pos.;Invalid pos.
9.9101730000;58.9464250000;0.33089;3.30891;6.59019;13.20000;0.36229;1410.23621;0.06299;2.00000;Invalid pos.;Invalid pos.
9.9205630000;58.9457640000;0.30221;2.86215;7.08588;13.20000;0.35257;1403.54333;0.05669;2.00000;Invalid pos.;Invalid pos.
9.9205630000;58.9457640000;0.30221;2.86215;7.08588;13.50000;0.34311;1416.92920;0.05669;2.00000;Invalid pos.;Invalid pos.
9.9309430000;58.9451030000;0.23025;2.14145;7.34754;13.20000;0.36229;1443.70081;0.06929;1.55711;Invalid pos.;Invalid pos.
9.9309430000;58.9451030000;0.23025;2.14145;7.34754;13.20000;0.36229;1430.31494;0.06929;1.55711;Invalid pos.;Invalid pos.
9.9413180000;58.9444420000;0.31623;3.30891;10.18296;12.90000;0.60739;1370.07874;0.06299;1.83990;Invalid pos.;Invalid pos.
9.9413180000;58.9444420000;0.31623;3.30891;10.18296;12.60000;0.60739;1356.69287;0.06299;1.83990;Invalid pos.;Invalid pos.
9.9413180000;58.9444420000;0.31623;3.30891;10.18296;12.30000;0.60739;1343.30713;0.06299;1.83990;Invalid pos.;Invalid pos.
9.9516790000;58.9437800000;0.31623;3.43110;9.82033;12.00000;0.77583;1323.22839;0.06299;1.76472;Invalid pos.;Invalid pos.
9.9516790000;58.9437800000;0.31623;3.43110;9.82033;11.70000;0.75501;1350.00000;0.06299;1.76472;Invalid pos.;Invalid pos.
9.9620360000;58.9431180000;0.28882;2.76023;8.80809;11.70000;0.62413;1343.30713;0.06299;1.69261;Invalid pos.;Invalid pos.
9.9620360000;58.9431180000;0.28882;2.76023;8.80809;11.70000;0.62413;1343.30713;0.06299;1.69261;Invalid pos.;Invalid pos.
9.9723770000;58.9424560000;0.27602;2.76023;11.77243;11.10000;0.99098;1370.07874;0.06299;1.76472;Invalid pos.;Invalid pos.
9.9723770000;58.9424560000;0.27602;2.76023;11.35320;10.80000;0.99098;1390.15747;0.06299;1.76472;Invalid pos.;Invalid pos.
9.9827150000;58.9417940000;0.25210;2.30253;11.77243;10.80000;0.59109;1383.46460;0.06929;1.49349;Invalid pos.;Invalid pos.
9.9827150000;58.9417940000;0.25210;2.30253;11.77243;11.10000;0.59109;1370.07874;0.06929;1.49349;Invalid pos.;Invalid pos.
9.9827150000;58.9417940000;0.25210;2.30253;11.77243;11.10000;0.59109;1363.38586;0.06929;1.49349;Invalid pos.;Invalid pos.
9.9930360000;58.9411320000;0.30221;3.19107;11.77243;12.00000;0.54478;1323.22839;0.06299;1.55711;Invalid pos.;Invalid pos.
9.9930360000;58.9411320000;0.30221;3.19107;11.77243;12.90000;0.54478;1370.07874;0.06299;1.55711;Invalid pos.;Invalid pos.
10.0033540000;58.9404690000;0.30221;3.19107;7.34754;13.20000;0.40392;1396.85046;0.05039;1.91828;Invalid pos.;Invalid pos.
10.0033540000;58.9404690000;0.30221;3.19107;7.34754;12.60000;0.40392;1376.77173;0.05039;1.91828;Invalid pos.;Invalid pos.
10.0136590000;58.9398060000;0.30221;3.30891;10.55898;12.30000;0.55980;1329.92126;0.06299;1.69261;Invalid pos.;Invalid pos.
10.0136590000;58.9398060000;0.30221;3.30891;10.18296;12.00000;0.54478;1316.53540;0.06299;1.69261;Invalid pos.;Invalid pos.
10.0239590000;58.9391420000;0.30221;3.55780;8.19192;12.30000;0.60739;1329.92126;0.05669;2.08520;Invalid pos.;Invalid pos.
10.0239590000;58.9391420000;0.30221;3.55780;8.19192;12.60000;0.59109;1350.00000;0.05669;2.08520;Invalid pos.;Invalid pos.
10.0342460000;58.9384790000;0.28882;3.19107;5.11283;12.30000;0.32495;1370.07874;0.04409;1.91828;Invalid pos.;Invalid pos.
10.0342460000;58.9384790000;0.28882;3.19107;4.93075;12.30000;0.32495;1370.07874;0.04409;1.91828;Invalid pos.;Invalid pos.
10.0445280000;58.9378150000;0.30221;3.43110;6.83354;12.30000;0.34311;1343.30713;0.05039;1.91828;Invalid pos.;Invalid pos.
10.0445280000;58.9378150000;0.30221;3.43110;6.83354;12.00000;0.34311;1336.61414;0.05039;1.91828;Invalid pos.;Invalid pos.
10.0445280000;58.9378150000;0.30221;3.43110;6.83354;11.40000;0.33390;1350.00000;0.05039;1.91828;Invalid pos.;Invalid pos.
10.0547950000;58.9371510000;0.30221;3.19107;5.30163;11.70000;0.32495;1350.00000;0.05039;1.69261;Invalid pos.;Invalid pos.
10.0547950000;58.9371510000;0.30221;3.19107;5.30163;11.70000;0.32495;1350.00000;0.05039;1.69261;Invalid pos.;Invalid pos.
10.0650590000;58.9364860000;0.30221;3.30891;5.91090;11.70000;0.33390;1350.00000;0.04409;1.83990;Invalid pos.;Invalid pos.
10.0650590000;58.9364860000;0.30221;3.30891;5.91090;12.00000;0.33390;1350.00000;0.04409;1.83990;Invalid pos.;Invalid pos.
10.0753070000;58.9358220000;0.31623;3.43110;6.59019;12.30000;0.37228;1350.00000;0.05039;1.76472;Invalid pos.;Invalid pos.
10.0753070000;58.9358220000;0.31623;3.43110;6.59019;12.60000;0.37228;1370.07874;0.05039;1.76472;Invalid pos.;Invalid pos.
10.0855510000;58.9351570000;0.27602;2.96784;5.49740;12.60000;0.35257;1363.38586;0.05039;1.83990;Invalid pos.;Invalid pos.
10.0855510000;58.9351570000;0.27602;2.96784;5.49740;12.30000;0.35257;1356.69287;0.05039;1.83990;Invalid pos.;Invalid pos.
10.0957850000;58.9344920000;0.30221;3.55780;5.11283;12.30000;0.28363;1363.38586;0.04409;2.08520;Invalid pos.;Invalid pos.
10.0957850000;58.9344920000;0.30221;3.55780;5.11283;12.00000;0.28363;1356.69287;0.04409;2.08520;Invalid pos.;Invalid pos.
10.0957850000;58.9344920000;0.30221;3.55780;5.11283;11.40000;0.28363;1376.77173;0.04409;2.08520;Invalid pos.;Invalid pos.
10.1060090000;58.9338270000;0.30221;3.43110;7.90019;11.70000;0.32495;1343.30713;0.05039;1.83990;Invalid pos.;Invalid pos.
10.1060090000;58.9338270000;0.30221;3.43110;7.90019;12.00000;0.32495;1329.92126;0.05039;1.83990;Invalid pos.;Invalid pos.
10.1162250000;58.9331610000;0.28882;3.82540;6.83354;11.40000;0.32495;1356.69287;0.05039;1.91828;Invalid pos.;Invalid pos.
10.1162250000;58.9331610000;0.28882;3.82540;6.83354;11.10000;0.32495;1383.46460;0.05039;1.91828;Invalid pos.;Invalid pos.
10.1264310000;58.9324960000;0.28882;3.43110;5.70040;10.80000;0.45034;1390.15747;0.05039;2.17404;Invalid pos.;Invalid pos.
10.1264310000;58.9324960000;0.28882;3.43110;5.70040;10.50000;0.45034;1410.23621;0.05039;2.17404;Invalid pos.;Invalid pos.
10.1366270000;58.9318300000;0.28882;2.96784;7.90019;10.20000;0.45034;1423.62207;0.05039;1.83990;Invalid pos.;Invalid pos.
10.1366270000;58.9318300000;0.28882;2.96784;7.90019;10.80000;0.45034;1396.85046;0.05039;1.83990;Invalid pos.;Invalid pos.
10.1468140000;58.9311640000;0.30221;3.96666;4.75516;11.10000;0.30774;1396.85046;0.04409;2.08520;Invalid pos.;Invalid pos.
