longitude;latitude;ADG443_NN;CHL_NN;CHL_OC4ME;IWV;KD490_M07;PAR;T865;TSM_NN;aphy_443;bbp_443
9.3451810000;58.1837730000;0.18356;1.33655;1.66139;8.40000;0.12890;1497.24414;0.04409;1.37393;0.03198;0.00753
9.3451810000;58.1837730000;0.18356;1.33655;1.66139;9.00000;0.12890;1497.24414;0.04409;1.37393;0.03209;0.00753
9.3556920000;58.1831180000;0.21030;1.60223;1.60223;9.30000;0.12890;1477.16541;0.03780;1.62345;0.03100;0.00706
9.3556920000;58.1831180000;0.21030;1.60223;1.60223;9.00000;0.12890;1490.55115;0.03780;1.62345;0.03111;0.00707
9.3551340000;58.1805530000;0.22005;1.72274;1.78636;8.70000;0.13610;1490.55115;0.03780;1.69261;0.03677;0.00743
9.3656280000;58.1798980000;0.20098;1.54517;1.49014;8.70000;0.12207;1497.24414;0.04409;1.55711;0.02669;0.00741
9.3656280000;58.1798980000;0.20098;1.54517;1.49014;8.70000;0.12207;1497.24414;0.04409;1.55711;0.02681;0.00742
9.3761190000;58.1792430000;0.20098;1.49014;1.54517;8.40000;0.12544;1497.24414;0.04409;1.43246;0.03185;0.00733
9.3761190000;58.1792430000;0.20098;1.49014;1.54517;8.40000;0.12544;1497.24414;0.04409;1.43246;0.03195;0.00734
9.3865940000;58.1785870000;0.18356;1.33655;1.60223;8.40000;0.12890;1497.24414;0.03780;1.37393;0.03315;0.00827
9.3865940000;58.1785870000;0.18356;1.33655;1.60223;8.10000;0.12890;1497.24414;0.03780;1.37393;0.03309;0.00828
9.3865940000;58.1785870000;0.18356;1.33655;1.60223;7.80000;0.12890;1497.24414;0.03780;1.37393;0.03304;0.00828
9.3965020000;58.1753670000;0.18356;1.28895;1.38590;7.80000;0.11880;1517.32288;0.03780;1.31779;0.04784;0.00800
9.3965020000;58.1753670000;0.18356;1.28895;1.38590;8.10000;0.11880;1517.32288;0.03780;1.31779;0.04790;0.00800
9.4069600000;58.1747110000;0.17543;1.19878;1.43708;8.40000;0.12207;1510.62988;0.03780;1.21230;0.04720;0.00741
9.4069600000;58.1747110000;0.17543;1.19878;1.43708;8.10000;0.12207;1510.62988;0.03780;1.21230;0.04724;0.00741
9.4174070000;58.1740540000;0.18356;1.43708;1.66139;8.10000;0.12890;1503.93701;0.04409;1.43246;0.03648;0.00803
9.4174070000;58.1740540000;0.18356;1.43708;1.66139;8.40000;0.12890;1503.93701;0.04409;1.43246;0.03650;0.00803
9.4174070000;58.1740540000;0.18356;1.38590;1.66139;8.40000;0.12890;1503.93701;0.04409;1.43246;0.03673;0.00803
9.4278460000;58.1733970000;0.19207;1.38590;1.38590;8.70000;0.11880;1510.62988;0.03780;1.43246;0.04842;0.00841
9.4272830000;58.1708330000;0.21030;1.54517;1.66139;9.60000;0.12890;1470.47241;0.04409;1.62345;0.05347;0.00820
9.4377070000;58.1701760000;0.21030;1.49014;1.60223;9.30000;0.12544;1470.47241;0.03780;1.62345;0.03406;0.00847
9.4377070000;58.1701760000;0.21030;1.49014;1.60223;8.70000;0.12544;1490.55115;0.03780;1.62345;0.03414;0.00848
9.4481290000;58.1695190000;0.18356;1.33655;1.49014;8.70000;0.12207;1503.93701;0.04409;1.49349;0.04356;0.00787
9.4481290000;58.1695190000;0.18356;1.33655;1.49014;9.30000;0.12207;1490.55115;0.04409;1.49349;0.04361;0.00788
9.4585350000;58.1688610000;0.18356;1.28895;1.49014;9.60000;0.12207;1477.16541;0.03780;1.37393;0.05221;0.00881
9.4585350000;58.1688610000;0.18356;1.28895;1.49014;9.90000;0.12207;1463.77954;0.03780;1.37393;0.05224;0.00881
9.4585350000;58.1688610000;0.18356;1.28895;1.49014;10.20000;0.12207;1443.70081;0.03780;1.37393;0.05229;0.00881
9.4683680000;58.1656390000;0.19207;1.33655;1.49014;9.60000;0.12207;1477.16541;0.03780;1.43246;0.05560;0.00899
9.4683680000;58.1656390000;0.19207;1.33655;1.49014;9.30000;0.12207;1490.55115;0.03780;1.43246;0.05563;0.00900
9.4787570000;58.1649810000;0.19207;1.24305;1.66139;9.30000;0.12890;1477.16541;0.03780;1.31779;0.03100;0.00842
9.4787570000;58.1649810000;0.19207;1.24305;1.66139;9.30000;0.12890;1470.47241;0.03780;1.31779;0.03118;0.00843
9.4891360000;58.1643220000;0.18356;1.19878;1.54517;9.60000;0.12544;1463.77954;0.03780;1.37393;0.02283;0.00915
9.4891360000;58.1643220000;0.18356;1.19878;1.54517;9.30000;0.12544;1483.85828;0.03780;1.37393;0.02307;0.00916
9.4891360000;58.1643220000;0.18356;1.19878;1.54517;9.00000;0.12544;1490.55115;0.03780;1.37393;0.02363;0.00916
9.4995060000;58.1636640000;0.18356;1.19878;1.43708;9.30000;0.11880;1490.55115;0.04409;1.31779;0.04597;0.00855
9.4989370000;58.1610990000;0.19207;1.24305;1.72274;9.00000;0.13245;1483.85828;0.03780;1.37393;0.05863;0.00964
9.5092980000;58.1604400000;0.18356;1.28895;1.60223;9.30000;0.12544;1470.47241;0.03780;1.43246;0.03152;0.00882
9.5092980000;58.1604400000;0.18356;1.28895;1.60223;9.90000;0.12544;1443.70081;0.03780;1.43246;0.03170;0.00883
