longitude;latitude;ADG443_NN;CHL_NN;CHL_OC4ME;IWV;KD490_M07;PAR;T865;TSM_NN;aphy_443;bbp_443
23.1240270000;58.1969830000;0.43431;6.12917;15.73441;27.60000;0.59109;1590.94495;0.07559;6.16915;0.06359;0.00568
23.1284210000;58.1962230000;0.19207;4.75516;10.94889;26.70000;0.59109;1597.63782;0.07559;3.44008;0.07939;0.00538
23.1328160000;58.1954630000;0.34623;5.91090;31.33740;27.90000;1.01830;1584.25195;0.07559;4.23799;Invalid pos.;0.00276
23.1372100000;58.1947030000;0.19207;4.75516;24.31234;27.90000;0.64134;1590.94495;0.07559;3.73943;0.04269;0.00512
23.1416030000;58.1939420000;0.43431;6.12917;100.00000;28.20000;5.20637;1577.55908;0.06929;5.22098;Invalid pos.;Invalid pos.
23.1459970000;58.1931820000;0.39667;5.91090;9.82033;28.20000;0.41506;1597.63782;0.07559;5.91707;0.24307;0.00777
23.1503910000;58.1924210000;0.19207;4.93075;19.55864;27.90000;1.07522;1584.25195;0.08189;3.89873;0.05653;0.00343
23.1547840000;58.1916600000;0.33089;5.70040;19.55864;26.70000;1.19878;1590.94495;0.08819;3.89873;Invalid pos.;Invalid pos.
23.1591780000;58.1908990000;0.20098;4.93075;45.03429;26.70000;1.66139;1584.25195;0.08189;4.23799;Invalid pos.;Invalid pos.
23.1635710000;58.1901370000;0.28882;5.49740;19.55864;26.70000;1.19878;1584.25195;0.08189;4.23799;Invalid pos.;Invalid pos.
23.1679640000;58.1893760000;0.28882;5.49740;13.61000;26.40000;0.62413;1611.02368;0.07559;4.80303;0.45794;0.00949
23.1723560000;58.1886140000;0.24093;5.11283;14.11258;26.70000;0.67719;1611.02368;0.08189;4.80303;0.08528;0.00574
23.1767490000;58.1878530000;0.21030;5.11283;8.49442;28.20000;0.34311;1624.40942;0.08819;5.22098;0.48730;0.01376
23.1811420000;58.1870910000;0.37909;5.91090;11.77243;27.30000;0.77583;1597.63782;0.08189;4.80303;Invalid pos.;Invalid pos.
23.1855340000;58.1863290000;0.20098;4.93075;12.65792;27.90000;0.84178;1604.33069;0.07559;4.41854;Invalid pos.;Invalid pos.
23.1899260000;58.1855660000;0.30221;5.49740;33.69450;27.90000;1.26579;1584.25195;0.08189;3.58663;Invalid pos.;Invalid pos.
23.1943180000;58.1848040000;0.21030;5.11283;12.20715;28.20000;0.59109;1604.33069;0.07559;4.60677;0.26092;0.00677
23.1987100000;58.1840420000;0.19207;4.93075;31.33740;27.60000;1.23183;1597.63782;0.08189;4.41854;0.22290;0.00572
23.2031020000;58.1832790000;0.37909;5.91090;38.95392;28.50000;1.26579;1584.25195;0.08819;5.00765;Invalid pos.;Invalid pos.
23.2074940000;58.1825160000;0.19207;4.93075;13.12533;27.90000;0.55980;1611.02368;0.08189;4.41854;0.15715;0.00832
23.2118850000;58.1817530000;0.19207;4.75516;5.11283;27.90000;0.32495;1617.71655;0.08189;4.06483;0.10695;0.00761
23.2162760000;58.1809900000;0.24093;5.11283;16.31543;27.60000;1.49014;1590.94495;0.08819;5.00765;Invalid pos.;Invalid pos.
23.2206670000;58.1802260000;0.23025;5.11283;14.63371;28.20000;0.54478;1604.33069;0.08189;4.41854;Invalid pos.;Invalid pos.
23.2250580000;58.1794630000;0.20098;4.75516;12.65792;27.60000;0.73475;1611.02368;0.08189;3.44008;0.03839;0.00413
23.2294490000;58.1786990000;0.23025;5.11283;7.34754;28.50000;0.48863;1617.71655;0.08819;4.80303;0.33604;0.00883
23.2294490000;58.1786990000;0.23025;5.11283;7.34754;29.10000;0.48863;1617.71655;0.08819;4.80303;0.33715;0.00885
23.2338400000;58.1779360000;0.24093;5.30163;64.71778;28.80000;1.23183;1584.25195;0.08819;5.00765;Invalid pos.;Invalid pos.
23.2382300000;58.1771720000;0.20098;4.75516;10.94889;29.10000;0.51594;1611.02368;0.08189;3.73943;0.07610;0.00605
23.2426210000;58.1764070000;0.20098;4.93075;13.61000;28.80000;0.86498;1604.33069;0.08189;4.23799;0.01772;0.00366
23.2470110000;58.1756430000;0.20098;4.75516;14.11258;28.20000;0.50210;1611.02368;0.08189;3.03538;0.30671;0.00936
23.2514010000;58.1748790000;0.19207;4.75516;11.35320;27.90000;0.54478;1611.02368;0.08189;3.73943;0.15524;0.00593
23.2557910000;58.1741140000;0.22005;4.93075;29.14519;27.90000;1.30069;1584.25195;0.08819;4.23799;Invalid pos.;Invalid pos.
23.2601810000;58.1733490000;0.34623;5.70040;16.31543;27.30000;0.86498;1611.02368;0.08819;5.22098;0.06642;0.00468
23.2645710000;58.1725840000;0.20098;4.93075;16.91790;27.60000;0.75501;1611.02368;0.08819;4.06483;Invalid pos.;0.00438
23.2689600000;58.1718190000;0.25210;5.30163;27.10634;27.30000;1.30069;1611.02368;0.08819;5.22098;Invalid pos.;Invalid pos.
23.2733490000;58.1710540000;0.21030;4.75516;16.31543;28.20000;0.71504;1611.02368;0.09449;2.79239;Invalid pos.;Invalid pos.
23.2777390000;58.1702890000;0.21030;5.11283;19.55864;28.20000;0.91333;1611.02368;0.09449;4.80303;Invalid pos.;Invalid pos.
23.2821280000;58.1695230000;0.22005;5.11283;21.02978;28.50000;0.86498;1617.71655;0.09449;5.00765;Invalid pos.;Invalid pos.
23.2865170000;58.1687570000;0.21030;4.93075;11.35320;27.90000;0.84178;1617.71655;0.10079;4.41854;Invalid pos.;Invalid pos.
23.2909050000;58.1679920000;0.21030;4.75516;13.12533;28.20000;0.47552;1617.71655;0.10079;3.29952;Invalid pos.;Invalid pos.
23.2952940000;58.1672260000;0.23025;5.11283;18.19041;27.60000;1.10486;1617.71655;0.10709;5.00765;Invalid pos.;Invalid pos.
23.2996820000;58.1664590000;0.21030;5.11283;21.02978;27.30000;0.86498;1617.71655;0.10709;4.80303;Invalid pos.;Invalid pos.
23.3040710000;58.1656930000;0.34623;5.70040;21.02978;27.90000;1.53123;1617.71655;0.10709;4.06483;Invalid pos.;Invalid pos.
23.3084590000;58.1649260000;0.43431;6.12917;11.35320;28.20000;0.46276;1624.40942;0.10709;6.99166;Invalid pos.;Invalid pos.
23.3128470000;58.1641600000;0.22005;5.11283;36.22890;27.90000;1.95586;1611.02368;0.10079;4.60677;Invalid pos.;Invalid pos.
23.3172350000;58.1633930000;0.21030;5.11283;7.08588;27.60000;0.54478;1617.71655;0.10079;4.80303;Invalid pos.;Invalid pos.
23.3216220000;58.1626260000;0.22005;4.75516;12.65792;27.60000;1.01830;1611.02368;0.09449;2.91135;Invalid pos.;Invalid pos.
23.3260100000;58.1618590000;0.20098;4.75516;22.61157;27.00000;2.63791;1611.02368;0.08819;3.29952;Invalid pos.;Invalid pos.
23.3303970000;58.1610910000;0.19207;4.93075;23.44654;27.60000;1.01830;1584.25195;0.08189;3.73943;Invalid pos.;Invalid pos.
23.3347850000;58.1603240000;0.24093;5.11283;41.88391;28.50000;2.63791;1584.25195;0.08819;5.00765;Invalid pos.;Invalid pos.
