longitude;latitude;ADG443_NN;CHL_OC4ME;KD490_M07;PAR;TSM_NN;aphy_443;bbp_443
9.0021940000;59.1848890000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0021940000;59.1848890000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0132660000;59.1842720000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0132660000;59.1842720000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0132660000;59.1842720000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0248970000;59.1836240000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0248970000;59.1836240000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0355030000;59.1830310000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0355030000;59.1830310000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0355030000;59.1830310000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0460600000;59.1824410000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0460600000;59.1824410000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0558450000;59.1818930000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0558450000;59.1818930000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0659700000;59.1813250000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0659700000;59.1813250000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0659700000;59.1813250000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0767390000;59.1807200000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0767390000;59.1807200000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0884780000;59.1800600000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0884780000;59.1800600000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.0884780000;59.1800600000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1003810000;59.1793890000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1003810000;59.1793890000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1130660000;59.1786720000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1130660000;59.1786720000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1268970000;59.1778900000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1268970000;59.1778900000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1268970000;59.1778900000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1383760000;59.1772390000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1383760000;59.1772390000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1488610000;59.1766440000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1488610000;59.1766440000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1488610000;59.1766440000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1622470000;59.1758830000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1622470000;59.1758830000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
9.1730260000;59.1752690000;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.;Invalid pos.
